FECHA (YYMMDD);HORA (HHMM);;
250711;1700;10,0525;
250711;1800;8,06551;
250711;1900;6,35358;
250711;2000;5,01408;
250711;2100;4,14475;
250711;2200;3,58433;
250711;2300;2,8845;
250712;0000;2,47192;
250712;0100;1,35358;
250712;0200;0,400917;
250712;0300;0,335333;
250712;0400;1,47017;
250712;0500;2,82433;
250712;0600;3,91083;
250712;0700;3,75683;
250712;0800;3,95217;
250712;0900;4,561;
250712;1000;5,3575;
250712;1100;6,57875;
250712;1200;7,19075;
250712;1300;7,77442;
250712;1400;8,57333;
250712;1500;8,95833;
250712;1600;9,11417;
250712;1700;7,78592;
250712;1800;6,72025;
250712;1900;6,65992;
250712;2000;6,6085;
250712;2100;6,421;
250712;2200;6,16183;
250712;2300;5,92083;
250713;0000;5,888;
250713;0100;5,67075;
250713;0200;5,63867;
250713;0300;5,39209;
250713;0400;4,85283;
250713;0500;4,85283;
250713;0600;4,89951;
250713;0700;4,96708;
250713;0800;4,83375;
250713;0900;4,91133;
250713;1000;5,174;
250713;1100;5,54867;
250713;1200;5,69883;
250713;1300;6,16367;
250713;1400;6,62525;
250713;1500;6,528;
250713;1600;6,34892;
250713;1700;5,95075;
250713;1800;6,1965;
250713;1900;6,4575;
250713;2000;6,63217;
250713;2100;6,964;
250713;2200;6,96458;
250713;2300;7,22325;
250714;0000;7,26875;
250714;0100;7,17408;
250714;0200;7,19825;
250714;0300;7,388;
250714;0400;7,32892;
250714;0500;7,451;
250714;0600;7,52033;
250714;0700;7,61625;
250714;0800;7,75992;
250714;0900;8,43668;
250714;1000;9,86583;
250714;1100;11,1967;
250714;1200;12,2017;
250714;1300;12,7233;
250714;1400;13,3442;
250714;1500;13,6333;
250714;1600;12,84;
250714;1700;11,755;
250714;1800;10,7767;
250714;1900;10,1733;
250714;2000;9,18916;
250714;2100;8,6675;
250714;2200;7,84509;
250714;2300;6,60067;
250715;0000;5,44075;
250715;0100;5,11267;
250715;0200;5,53692;
250715;0300;4,87075;
250715;0400;5,06134;
250715;0500;4,97468;
