FECHA (YYMMDD);HORA (HHMM);;
250712;0300;22,2796;
250712;0400;13,5659;
250712;0500;33,1538;
250712;0600;29,658;
250712;0700;27,9794;
250712;0800;29,1788;
250712;0900;26,1675;
250712;1000;359,89;
250712;1100;146,084;
250712;1200;173,267;
250712;1300;182,886;
250712;1400;157,613;
250712;1500;128,263;
250712;1600;86,605;
250712;1700;60,3154;
250712;1800;47,5312;
250712;1900;49,5349;
250712;2000;48,8372;
250712;2100;79,1971;
250712;2200;91,377;
250712;2300;76,2544;
250713;0000;136,706;
250713;0100;126,851;
250713;0200;204,716;
250713;0300;184,964;
250713;0400;159,592;
250713;0500;117,274;
250713;0600;90,5492;
250713;0700;89,9979;
250713;0800;88,6049;
250713;0900;46,0341;
250713;1000;163,019;
250713;1100;51,838;
250713;1200;5,85854;
250713;1300;234,624;
250713;1400;186,064;
250713;1500;107,271;
250713;1600;94,7125;
250713;1700;70,826;
250713;1800;54,0381;
250713;1900;38,1226;
250713;2000;49,0489;
250713;2100;62,7733;
250713;2200;30,8315;
250713;2300;53,551;
250714;0000;82,6342;
250714;0100;60,774;
250714;0200;68,0343;
250714;0300;60,2033;
250714;0400;54,172;
250714;0500;42,4177;
250714;0600;48,9898;
250714;0700;49,0435;
250714;0800;12,2973;
250714;0900;22,6779;
250714;1000;335,563;
250714;1100;276,495;
250714;1200;322,864;
250714;1300;309,035;
250714;1400;8,53413;
250714;1500;336,576;
250714;1600;283,655;
250714;1700;261,384;
250714;1800;244,934;
250714;1900;223,643;
250714;2000;245,125;
250714;2100;112,906;
250714;2200;18,8684;
250714;2300;35,8386;
250715;0000;339,37;
250715;0100;204,367;
250715;0200;167,866;
250715;0300;28,5641;
250715;0400;118,758;
250715;0500;256,925;
250715;0600;39,2243;
250715;0700;2,86179;
250715;0800;8,18883;
250715;0900;259,632;
250715;1000;155,712;
250715;1100;69,9445;
250715;1200;248,122;
250715;1300;83,9412;
250715;1400;41,0341;
250715;1500;46,0855;
250715;1600;12,5801;
250715;1700;216,527;
250715;1800;235,337;
250715;1900;22,4445;
250715;2000;277,541;
250715;2100;173,139;
250715;2200;49,4606;
250715;2300;260,973;
