FECHA (YYMMDD);HORA (HHMM);;
250711;1600;0,887681;
250711;1700;1,18434;
250711;1800;0,787066;
250711;1900;0,405004;
250711;2000;0,0760055;
250711;2100;0,450068;
250711;2200;0,753146;
250711;2300;0,697004;
250712;0000;0,970024;
250712;0100;0,654096;
250712;0200;0,877458;
250712;0300;0,904463;
250712;0400;0,701592;
250712;0500;0,589969;
250712;0600;0,68363;
250712;0700;1,0407;
250712;0800;0,93484;
250712;0900;1,03194;
250712;1000;0,678293;
250712;1100;0,963257;
250712;1200;1,92186;
250712;1300;1,41112;
250712;1400;1,29644;
250712;1500;0,735175;
250712;1600;1,05666;
250712;1700;1,91784;
250712;1800;1,16947;
250712;1900;1,07472;
250712;2000;1,08546;
250712;2100;1,20471;
250712;2200;0,981808;
250712;2300;0,543206;
250713;0000;0,431488;
250713;0100;0,416136;
250713;0200;0,784681;
250713;0300;1,70967;
250713;0400;1,1952;
250713;0500;0,345912;
250713;0600;0,280997;
250713;0700;1,32951;
250713;0800;1,05763;
250713;0900;0,639823;
250713;1000;0,142986;
250713;1100;0,645555;
250713;1200;0,419425;
250713;1300;0,383574;
250713;1400;0,842995;
250713;1500;0,829561;
250713;1600;1,52724;
250713;1700;1,79906;
250713;1800;1,66171;
250713;1900;1,29002;
250713;2000;0,883904;
250713;2100;0,990935;
250713;2200;1,0914;
250713;2300;0,743353;
250714;0000;0,775531;
250714;0100;1,55235;
250714;0200;1,20662;
250714;0300;0,489566;
250714;0400;0,415377;
250714;0500;0,979699;
250714;0600;1,41727;
250714;0700;0,709399;
250714;0800;0,369268;
250714;0900;0,827642;
250714;1000;0,393995;
250714;1100;0,50925;
250714;1200;0,53924;
250714;1300;0,994519;
250714;1400;1,87923;
250714;1500;1,33722;
250714;1600;1,65251;
250714;1700;1,36178;
250714;1800;1,04201;
250714;1900;0,414598;
250714;2000;0,189907;
250714;2100;0,21012;
250714;2200;0,610978;
250714;2300;0,690002;
250715;0000;0,228679;
250715;0100;0,859018;
250715;0200;0,392795;
250715;0300;1,2764;
250715;0400;0,494976;
250715;0500;0,158622;
250715;0600;0,598127;
250715;0700;0,62722;
250715;0800;0,351485;
250715;0900;0,365889;
250715;1000;0,543586;
250715;1100;0,530717;
250715;1200;0,450903;
250715;1300;0,666686;
250715;1400;1,28959;
250715;1500;1,53766;
