TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 4 TALCA_001
Start Date:,17-07-2025
Start Time:,17:36:27
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,68
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,0.000
,Time of Minimum:,17:36:28
,Date of Minimum:,17-07-2025
,Maximum:,0.003
,Time of Maximum:,17:37:26
,Date of Maximum:,17-07-2025

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
17-07-2025,17:36:28,0.000
17-07-2025,17:36:29,0.000
17-07-2025,17:36:30,0.000
17-07-2025,17:36:31,0.000
17-07-2025,17:36:32,0.000
17-07-2025,17:36:33,0.000
17-07-2025,17:36:34,0.000
17-07-2025,17:36:35,0.000
17-07-2025,17:36:36,0.000
17-07-2025,17:36:37,0.000
17-07-2025,17:36:38,0.000
17-07-2025,17:36:39,0.000
17-07-2025,17:36:40,0.000
17-07-2025,17:36:41,0.000
17-07-2025,17:36:42,0.000
17-07-2025,17:36:43,0.000
17-07-2025,17:36:44,0.000
17-07-2025,17:36:45,0.000
17-07-2025,17:36:46,0.000
17-07-2025,17:36:47,0.000
17-07-2025,17:36:48,0.000
17-07-2025,17:36:49,0.000
17-07-2025,17:36:50,0.000
17-07-2025,17:36:51,0.000
17-07-2025,17:36:52,0.000
17-07-2025,17:36:53,0.000
17-07-2025,17:36:54,0.000
17-07-2025,17:36:55,0.000
17-07-2025,17:36:56,0.000
17-07-2025,17:36:57,0.000
17-07-2025,17:36:58,0.000
17-07-2025,17:36:59,0.000
17-07-2025,17:37:00,0.000
17-07-2025,17:37:01,0.000
17-07-2025,17:37:02,0.000
17-07-2025,17:37:03,0.000
17-07-2025,17:37:04,0.000
17-07-2025,17:37:05,0.000
17-07-2025,17:37:06,0.000
17-07-2025,17:37:07,0.000
17-07-2025,17:37:08,0.000
17-07-2025,17:37:09,0.000
17-07-2025,17:37:10,0.000
17-07-2025,17:37:11,0.000
17-07-2025,17:37:12,0.000
17-07-2025,17:37:13,0.000
17-07-2025,17:37:14,0.000
17-07-2025,17:37:15,0.000
17-07-2025,17:37:16,0.000
17-07-2025,17:37:17,0.000
17-07-2025,17:37:18,0.000
17-07-2025,17:37:19,0.000
17-07-2025,17:37:20,0.000
17-07-2025,17:37:21,0.000
17-07-2025,17:37:22,0.000
17-07-2025,17:37:23,0.000
17-07-2025,17:37:24,0.000
17-07-2025,17:37:25,0.002
17-07-2025,17:37:26,0.003
17-07-2025,17:37:27,0.000
17-07-2025,17:37:28,0.000
17-07-2025,17:37:29,0.000
17-07-2025,17:37:30,0.000
17-07-2025,17:37:31,0.001
17-07-2025,17:37:32,0.001
17-07-2025,17:37:33,0.000
17-07-2025,17:37:34,0.000
17-07-2025,17:37:35,0.000

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,002
Test Abbreviation:,TEST 4 TALCA_002
Start Date:,17-07-2025
Start Time:,17:38:18
Duration (dd:hh:mm:ss):,0:00:03:00
Log Interval (mm:ss):,00:01
Number of points:,188
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.028
,Minimum:,0.024
,Time of Minimum:,17:39:49
,Date of Minimum:,17-07-2025
,Maximum:,0.034
,Time of Maximum:,17:41:05
,Date of Maximum:,17-07-2025

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
17-07-2025,17:38:19,0.026
17-07-2025,17:38:20,0.028
17-07-2025,17:38:21,0.028
17-07-2025,17:38:22,0.027
17-07-2025,17:38:23,0.026
17-07-2025,17:38:24,0.027
17-07-2025,17:38:25,0.029
17-07-2025,17:38:26,0.027
17-07-2025,17:38:27,0.026
17-07-2025,17:38:28,0.026
17-07-2025,17:38:29,0.025
17-07-2025,17:38:30,0.025
17-07-2025,17:38:31,0.025
17-07-2025,17:38:32,0.025
17-07-2025,17:38:33,0.026
17-07-2025,17:38:34,0.027
17-07-2025,17:38:35,0.027
17-07-2025,17:38:36,0.028
17-07-2025,17:38:37,0.027
17-07-2025,17:38:38,0.027
17-07-2025,17:38:39,0.027
17-07-2025,17:38:40,0.028
17-07-2025,17:38:41,0.027
17-07-2025,17:38:42,0.028
17-07-2025,17:38:43,0.027
17-07-2025,17:38:44,0.028
17-07-2025,17:38:45,0.028
17-07-2025,17:38:46,0.027
17-07-2025,17:38:47,0.026
17-07-2025,17:38:48,0.027
17-07-2025,17:38:49,0.027
17-07-2025,17:38:50,0.027
17-07-2025,17:38:51,0.033
17-07-2025,17:38:52,0.029
17-07-2025,17:38:53,0.028
17-07-2025,17:38:54,0.026
17-07-2025,17:38:55,0.027
17-07-2025,17:38:56,0.028
17-07-2025,17:38:57,0.027
17-07-2025,17:38:58,0.028
17-07-2025,17:38:59,0.028
17-07-2025,17:39:00,0.027
17-07-2025,17:39:01,0.027
17-07-2025,17:39:02,0.028
17-07-2025,17:39:03,0.029
17-07-2025,17:39:04,0.029
17-07-2025,17:39:05,0.027
17-07-2025,17:39:06,0.029
17-07-2025,17:39:07,0.031
17-07-2025,17:39:08,0.032
17-07-2025,17:39:09,0.029
17-07-2025,17:39:10,0.030
17-07-2025,17:39:11,0.030
17-07-2025,17:39:12,0.031
17-07-2025,17:39:13,0.031
17-07-2025,17:39:14,0.029
17-07-2025,17:39:15,0.026
17-07-2025,17:39:16,0.027
17-07-2025,17:39:17,0.028
17-07-2025,17:39:18,0.029
17-07-2025,17:39:19,0.028
17-07-2025,17:39:20,0.028
17-07-2025,17:39:21,0.031
17-07-2025,17:39:22,0.030
17-07-2025,17:39:23,0.027
17-07-2025,17:39:24,0.027
17-07-2025,17:39:25,0.026
17-07-2025,17:39:26,0.025
17-07-2025,17:39:27,0.027
