TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 4 TALCA_001
Start Date:,20-07-2025
Start Time:,17:39:55
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,83
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,0.000
,Time of Minimum:,17:39:56
,Date of Minimum:,20-07-2025
,Maximum:,0.000
,Time of Maximum:,17:39:56
,Date of Maximum:,20-07-2025

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
20-07-2025,17:42:20,0.051
20-07-2025,17:42:21,0.051
20-07-2025,17:42:22,0.051
20-07-2025,17:42:23,0.052
20-07-2025,17:42:24,0.053
20-07-2025,17:42:25,0.053
20-07-2025,17:42:26,0.053
20-07-2025,17:42:27,0.053
20-07-2025,17:42:28,0.053
20-07-2025,17:42:29,0.051
20-07-2025,17:42:30,0.052
20-07-2025,17:42:31,0.054
20-07-2025,17:42:32,0.054
20-07-2025,17:42:33,0.053
20-07-2025,17:42:34,0.053
20-07-2025,17:42:35,0.053
20-07-2025,17:42:36,0.053
20-07-2025,17:42:37,0.053
20-07-2025,17:42:38,0.054
20-07-2025,17:42:39,0.056
20-07-2025,17:42:40,0.054
20-07-2025,17:42:41,0.053
20-07-2025,17:42:42,0.053
20-07-2025,17:42:43,0.054
20-07-2025,17:42:44,0.053
20-07-2025,17:42:45,0.054
20-07-2025,17:42:46,0.053
20-07-2025,17:42:47,0.053
20-07-2025,17:42:48,0.053
20-07-2025,17:42:49,0.053
20-07-2025,17:42:50,0.053
20-07-2025,17:42:51,0.053
20-07-2025,17:42:52,0.056
20-07-2025,17:42:53,0.056
20-07-2025,17:42:54,0.052
20-07-2025,17:42:55,0.053
20-07-2025,17:42:56,0.053
20-07-2025,17:42:57,0.052
20-07-2025,17:42:58,0.052
20-07-2025,17:42:59,0.051
20-07-2025,17:43:00,0.051
20-07-2025,17:43:01,0.048
20-07-2025,17:43:02,0.050
20-07-2025,17:43:03,0.053
20-07-2025,17:43:04,0.054
20-07-2025,17:43:05,0.054
20-07-2025,17:43:06,0.052
20-07-2025,17:43:07,0.054
20-07-2025,17:43:08,0.054
20-07-2025,17:43:09,0.054
20-07-2025,17:43:10,0.052
20-07-2025,17:43:11,0.052
20-07-2025,17:43:12,0.052
20-07-2025,17:43:13,0.052
20-07-2025,17:43:14,0.051
20-07-2025,17:43:15,0.054
20-07-2025,17:43:16,0.052
20-07-2025,17:43:17,0.051
20-07-2025,17:43:18,0.051
20-07-2025,17:43:19,0.055
20-07-2025,17:43:20,0.056
20-07-2025,17:43:21,0.054
20-07-2025,17:43:22,0.053
20-07-2025,17:43:23,0.053
20-07-2025,17:43:24,0.054
20-07-2025,17:43:25,0.053
20-07-2025,17:43:26,0.053
20-07-2025,17:43:27,0.053
20-07-2025,17:43:28,0.053
20-07-2025,17:43:29,0.053
20-07-2025,17:43:30,0.054
20-07-2025,17:43:31,0.053
20-07-2025,17:43:32,0.054
20-07-2025,17:43:33,0.055
20-07-2025,17:43:34,0.055
20-07-2025,17:43:35,0.055
20-07-2025,17:43:36,0.053
20-07-2025,17:43:37,0.052
20-07-2025,17:43:38,0.054
20-07-2025,17:43:39,0.054
20-07-2025,17:43:40,0.053
20-07-2025,17:43:41,0.053
20-07-2025,17:43:42,0.054
20-07-2025,17:43:43,0.053
20-07-2025,17:43:44,0.052
20-07-2025,17:43:45,0.052
20-07-2025,17:43:46,0.053
20-07-2025,17:43:47,0.052
20-07-2025,17:43:48,0.051
20-07-2025,17:43:49,0.053
20-07-2025,17:43:50,0.054
20-07-2025,17:43:51,0.052
20-07-2025,17:43:52,0.052
20-07-2025,17:43:53,0.051
20-07-2025,17:43:54,0.051
20-07-2025,17:43:55,0.052
20-07-2025,17:43:56,0.053
20-07-2025,17:43:57,0.053
20-07-2025,17:43:58,0.054
20-07-2025,17:43:59,0.055
20-07-2025,17:44:00,0.054
20-07-2025,17:44:01,0.053
20-07-2025,17:44:02,0.053
20-07-2025,17:44:03,0.053
20-07-2025,17:44:04,0.052
20-07-2025,17:44:05,0.052
20-07-2025,17:44:06,0.055
20-07-2025,17:44:07,0.055
20-07-2025,17:44:08,0.052
20-07-2025,17:44:09,0.052
20-07-2025,17:44:10,0.053
20-07-2025,17:44:11,0.051
20-07-2025,17:44:12,0.052
20-07-2025,17:44:13,0.052
20-07-2025,17:44:14,0.053
20-07-2025,17:44:15,0.053
20-07-2025,17:44:16,0.053
20-07-2025,17:44:17,0.053
20-07-2025,17:44:18,0.055
20-07-2025,17:44:19,0.052
20-07-2025,17:44:20,0.053
20-07-2025,17:44:21,0.056
20-07-2025,17:44:22,0.054
20-07-2025,17:44:23,0.054
20-07-2025,17:44:24,0.055
20-07-2025,17:44:25,0.054
20-07-2025,17:44:26,0.052
20-07-2025,17:44:27,0.050
20-07-2025,17:44:28,0.051
20-07-2025,17:44:29,0.052
20-07-2025,17:44:30,0.052
20-07-2025,17:44:31,0.052
20-07-2025,17:44:32,0.053
20-07-2025,17:44:33,0.054
20-07-2025,17:44:34,0.054
20-07-2025,17:44:35,0.053
20-07-2025,17:44:36,0.052
20-07-2025,17:44:37,0.054
20-07-2025,17:44:38,0.053
20-07-2025,17:44:39,0.054
20-07-2025,17:44:40,0.054
20-07-2025,17:44:41,0.055
20-07-2025,17:44:42,0.053
20-07-2025,17:44:43,0.052
20-07-2025,17:44:44,0.053
20-07-2025,17:44:45,0.053
20-07-2025,17:44:46,0.051
20-07-2025,17:44:47,0.052
20-07-2025,17:44:48,0.053
20-07-2025,17:44:49,0.052
20-07-2025,17:44:50,0.051
20-07-2025,17:44:51,0.051
20-07-2025,17:44:52,0.052

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,003
Test Abbreviation:,TEST 4 TALCA_003
Start Date:,20-07-2025
Start Time:,18:00:37
Duration (dd:hh:mm:ss):,0:01:00:00
Log Interval (mm:ss):,00:01
Number of points:,3605
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
