TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 4 TALCA_001
Start Date:,14-07-2025
Start Time:,17:49:18
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,62
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,0.000
,Time of Minimum:,17:49:19
,Date of Minimum:,14-07-2025
,Maximum:,0.000
,Time of Maximum:,17:49:19
,Date of Maximum:,14-07-2025

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
14-07-2025,17:49:19,0.000
14-07-2025,17:49:20,0.000
14-07-2025,17:49:21,0.000
14-07-2025,17:49:22,0.000
14-07-2025,17:49:23,0.000
14-07-2025,17:49:24,0.000
14-07-2025,17:49:25,0.000
14-07-2025,17:49:26,0.000
14-07-2025,17:49:27,0.000
14-07-2025,17:49:28,0.000
14-07-2025,17:49:29,0.000
14-07-2025,17:49:30,0.000
14-07-2025,17:49:31,0.000
14-07-2025,17:49:32,0.000
14-07-2025,17:49:33,0.000
14-07-2025,17:49:34,0.000
14-07-2025,17:49:35,0.000
14-07-2025,17:49:36,0.000
14-07-2025,17:49:37,0.000
14-07-2025,17:49:38,0.000
14-07-2025,17:49:39,0.000
14-07-2025,17:49:40,0.000
14-07-2025,17:49:41,0.000
14-07-2025,17:49:42,0.000
14-07-2025,17:49:43,0.000
14-07-2025,17:49:44,0.000
14-07-2025,17:49:45,0.000
14-07-2025,17:49:46,0.000
14-07-2025,17:49:47,0.000
14-07-2025,17:49:48,0.000
14-07-2025,17:49:49,0.000
14-07-2025,17:49:50,0.000
14-07-2025,17:49:51,0.000
14-07-2025,17:49:52,0.000
14-07-2025,17:49:53,0.000
14-07-2025,17:49:54,0.000
14-07-2025,17:49:55,0.000
14-07-2025,17:49:56,0.000
14-07-2025,17:49:57,0.000
14-07-2025,17:49:58,0.000
14-07-2025,17:49:59,0.000
14-07-2025,17:50:00,0.000
14-07-2025,17:50:01,0.000
14-07-2025,17:50:02,0.000
14-07-2025,17:50:03,0.000
14-07-2025,17:50:04,0.000
14-07-2025,17:50:05,0.000
14-07-2025,17:50:06,0.000
14-07-2025,17:50:07,0.000
14-07-2025,17:50:08,0.000
14-07-2025,17:50:09,0.000
14-07-2025,17:50:10,0.000
