TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 4 TALCA_001
Start Date:,29-07-2025
Start Time:,18:46:26
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,61
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,0.000
,Time of Minimum:,18:46:27
,Date of Minimum:,29-07-2025
,Maximum:,0.000
,Time of Maximum:,18:46:27
,Date of Maximum:,29-07-2025

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
29-07-2025,18:46:27,0.000
29-07-2025,18:46:28,0.000
29-07-2025,18:46:29,0.000
29-07-2025,18:46:30,0.000
29-07-2025,18:46:31,0.000
29-07-2025,18:46:32,0.000
29-07-2025,18:46:33,0.000
29-07-2025,18:46:34,0.000
29-07-2025,18:46:35,0.000
29-07-2025,18:46:36,0.000
29-07-2025,18:46:37,0.000
29-07-2025,18:46:38,0.000
29-07-2025,18:46:39,0.000
29-07-2025,18:46:40,0.000
29-07-2025,18:46:41,0.000
29-07-2025,18:46:42,0.000
29-07-2025,18:46:43,0.000
29-07-2025,18:46:44,0.000
29-07-2025,18:46:45,0.000
29-07-2025,18:46:46,0.000
29-07-2025,18:46:47,0.000
29-07-2025,18:46:48,0.000
29-07-2025,18:46:49,0.000
29-07-2025,18:46:50,0.000
29-07-2025,18:46:51,0.000
29-07-2025,18:46:52,0.000
29-07-2025,18:46:53,0.000
29-07-2025,18:46:54,0.000
29-07-2025,18:46:55,0.000
29-07-2025,18:46:56,0.000
29-07-2025,18:46:57,0.000
29-07-2025,18:46:58,0.000
29-07-2025,18:46:59,0.000
29-07-2025,18:47:00,0.000
29-07-2025,18:47:01,0.000
29-07-2025,18:47:02,0.000
29-07-2025,18:47:03,0.000
29-07-2025,18:47:04,0.000
29-07-2025,18:47:05,0.000
29-07-2025,18:47:06,0.000
29-07-2025,18:47:07,0.000
29-07-2025,18:47:08,0.000
29-07-2025,18:47:09,0.000
29-07-2025,18:47:10,0.000
29-07-2025,18:47:11,0.000
29-07-2025,18:47:12,0.000
29-07-2025,18:47:13,0.000
29-07-2025,18:47:14,0.000
29-07-2025,18:47:15,0.000
29-07-2025,18:47:16,0.000
29-07-2025,18:47:17,0.000
29-07-2025,18:47:18,0.000
29-07-2025,18:47:19,0.000
29-07-2025,18:47:20,0.000
29-07-2025,18:47:21,0.000
29-07-2025,18:47:22,0.000
29-07-2025,18:47:23,0.000
29-07-2025,18:47:24,0.000
29-07-2025,18:47:25,0.000
29-07-2025,18:47:26,0.000
29-07-2025,18:47:27,0.000

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,002
Test Abbreviation:,TEST 4 TALCA_002
Start Date:,29-07-2025
Start Time:,18:48:12
Duration (dd:hh:mm:ss):,0:00:03:00
Log Interval (mm:ss):,00:01
Number of points:,185
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.154
,Minimum:,0.148
,Time of Minimum:,18:48:16
,Date of Minimum:,29-07-2025
,Maximum:,0.161
,Time of Maximum:,18:48:28
,Date of Maximum:,29-07-2025

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
29-07-2025,18:48:13,0.153
29-07-2025,18:48:14,0.155
29-07-2025,18:48:15,0.152
29-07-2025,18:48:16,0.148
29-07-2025,18:48:17,0.152
29-07-2025,18:48:18,0.152
29-07-2025,18:48:19,0.151
29-07-2025,18:48:20,0.152
29-07-2025,18:48:21,0.152
29-07-2025,18:48:22,0.153
29-07-2025,18:48:23,0.155
29-07-2025,18:48:24,0.156
29-07-2025,18:48:25,0.151
29-07-2025,18:48:26,0.151
29-07-2025,18:48:27,0.156
29-07-2025,18:48:28,0.161
29-07-2025,18:48:29,0.157
29-07-2025,18:48:30,0.155
29-07-2025,18:48:31,0.153
29-07-2025,18:48:32,0.154
29-07-2025,18:48:33,0.158
29-07-2025,18:48:34,0.153
29-07-2025,18:48:35,0.152
29-07-2025,18:48:36,0.154
29-07-2025,18:48:37,0.152
29-07-2025,18:48:38,0.153
29-07-2025,18:48:39,0.154
29-07-2025,18:48:40,0.154
29-07-2025,18:48:41,0.152
29-07-2025,18:48:42,0.151
29-07-2025,18:48:43,0.151
29-07-2025,18:48:44,0.153
29-07-2025,18:48:45,0.152
29-07-2025,18:48:46,0.156
29-07-2025,18:48:47,0.156
29-07-2025,18:48:48,0.151
29-07-2025,18:48:49,0.150
29-07-2025,18:48:50,0.152
29-07-2025,18:48:51,0.150
29-07-2025,18:48:52,0.153
29-07-2025,18:48:53,0.157
29-07-2025,18:48:54,0.156
29-07-2025,18:48:55,0.154
29-07-2025,18:48:56,0.153
29-07-2025,18:48:57,0.155
29-07-2025,18:48:58,0.153
29-07-2025,18:48:59,0.151
29-07-2025,18:49:00,0.155
29-07-2025,18:49:01,0.156
29-07-2025,18:49:02,0.154
29-07-2025,18:49:03,0.150
29-07-2025,18:49:04,0.151
29-07-2025,18:49:05,0.151
29-07-2025,18:49:06,0.155
29-07-2025,18:49:07,0.154
29-07-2025,18:49:08,0.152
29-07-2025,18:49:09,0.154
29-07-2025,18:49:10,0.156
29-07-2025,18:49:11,0.157
29-07-2025,18:49:12,0.157
29-07-2025,18:49:13,0.160
29-07-2025,18:49:14,0.156
29-07-2025,18:49:15,0.155
29-07-2025,18:49:16,0.156
29-07-2025,18:49:17,0.157
29-07-2025,18:49:18,0.157
29-07-2025,18:49:19,0.154
29-07-2025,18:49:20,0.153
29-07-2025,18:49:21,0.152
29-07-2025,18:49:22,0.153
29-07-2025,18:49:23,0.153
29-07-2025,18:49:24,0.153
29-07-2025,18:49:25,0.154
29-07-2025,18:49:26,0.155
29-07-2025,18:49:27,0.155
29-07-2025,18:49:28,0.152
29-07-2025,18:49:29,0.154
29-07-2025,18:49:30,0.153
29-07-2025,18:49:31,0.150
29-07-2025,18:49:32,0.153
29-07-2025,18:49:33,0.156
29-07-2025,18:49:34,0.154
29-07-2025,18:49:35,0.154
29-07-2025,18:49:36,0.156
29-07-2025,18:49:37,0.155
29-07-2025,18:49:38,0.155
29-07-2025,18:49:39,0.154
29-07-2025,18:49:40,0.155
29-07-2025,18:49:41,0.157
29-07-2025,18:49:42,0.158
29-07-2025,18:49:43,0.158
29-07-2025,18:49:44,0.154
29-07-2025,18:49:45,0.153
29-07-2025,18:49:46,0.158
29-07-2025,18:49:47,0.160
29-07-2025,18:49:48,0.160
29-07-2025,18:49:49,0.157
29-07-2025,18:49:50,0.154
29-07-2025,18:49:51,0.156
29-07-2025,18:49:52,0.158
29-07-2025,18:49:53,0.155
29-07-2025,18:49:54,0.155
29-07-2025,18:49:55,0.152
29-07-2025,18:49:56,0.154
29-07-2025,18:49:57,0.154
29-07-2025,18:49:58,0.154
29-07-2025,18:49:59,0.154
29-07-2025,18:50:00,0.152
29-07-2025,18:50:01,0.155
29-07-2025,18:50:02,0.153
29-07-2025,18:50:03,0.150
29-07-2025,18:50:04,0.151
29-07-2025,18:50:05,0.154
29-07-2025,18:50:06,0.154
29-07-2025,18:50:07,0.154
29-07-2025,18:50:08,0.156
29-07-2025,18:50:09,0.156
29-07-2025,18:50:10,0.153
29-07-2025,18:50:11,0.155
29-07-2025,18:50:12,0.154
29-07-2025,18:50:13,0.155
29-07-2025,18:50:14,0.158
29-07-2025,18:50:15,0.156
29-07-2025,18:50:16,0.156
29-07-2025,18:50:17,0.155
29-07-2025,18:50:18,0.156
29-07-2025,18:50:19,0.156
29-07-2025,18:50:20,0.157
29-07-2025,18:50:21,0.150
29-07-2025,18:50:22,0.151
29-07-2025,18:50:23,0.152
29-07-2025,18:50:24,0.158
29-07-2025,18:50:25,0.158
29-07-2025,18:50:26,0.154
29-07-2025,18:50:27,0.154
29-07-2025,18:50:28,0.153
29-07-2025,18:50:29,0.151
29-07-2025,18:50:30,0.153
29-07-2025,18:50:31,0.153
29-07-2025,18:50:32,0.155
29-07-2025,18:50:33,0.156
29-07-2025,18:50:34,0.150
29-07-2025,18:50:35,0.152
29-07-2025,18:50:36,0.154
29-07-2025,18:50:37,0.156
29-07-2025,18:50:38,0.153
29-07-2025,18:50:39,0.152
29-07-2025,18:50:40,0.150
29-07-2025,18:50:41,0.155
29-07-2025,18:50:42,0.153
29-07-2025,18:50:43,0.154
29-07-2025,18:50:44,0.158
29-07-2025,18:50:45,0.155
29-07-2025,18:50:46,0.155
29-07-2025,18:50:47,0.153
29-07-2025,18:50:48,0.152
29-07-2025,18:50:49,0.155
29-07-2025,18:50:50,0.156
29-07-2025,18:50:51,0.159
29-07-2025,18:50:52,0.158
29-07-2025,18:50:53,0.152
29-07-2025,18:50:54,0.157
29-07-2025,18:50:55,0.157
29-07-2025,18:50:56,0.158
29-07-2025,18:50:57,0.154
29-07-2025,18:50:58,0.156
29-07-2025,18:50:59,0.156
29-07-2025,18:51:00,0.151
29-07-2025,18:51:01,0.152
29-07-2025,18:51:02,0.154
29-07-2025,18:51:03,0.157
29-07-2025,18:51:04,0.154
29-07-2025,18:51:05,0.152
29-07-2025,18:51:06,0.155
29-07-2025,18:51:07,0.156
29-07-2025,18:51:08,0.154
29-07-2025,18:51:09,0.154
29-07-2025,18:51:10,0.155
29-07-2025,18:51:11,0.153
29-07-2025,18:51:12,0.154
29-07-2025,18:51:13,0.153
29-07-2025,18:51:14,0.152
29-07-2025,18:51:15,0.156
29-07-2025,18:51:16,0.155
29-07-2025,18:51:17,0.153

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,003
Test Abbreviation:,TEST 4 TALCA_003
Start Date:,29-07-2025
Start Time:,19:10:06
Duration (dd:hh:mm:ss):,0:00:05:00
Log Interval (mm:ss):,00:01
Number of points:,321
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.139
,Minimum:,0.111
,Time of Minimum:,19:10:07
,Date of Minimum:,29-07-2025
,Maximum:,0.354
,Time of Maximum:,19:14:23
,Date of Maximum:,29-07-2025

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
29-07-2025,19:10:07,0.111
29-07-2025,19:10:08,0.113
29-07-2025,19:10:09,0.111
29-07-2025,19:10:10,0.115
29-07-2025,19:10:11,0.115
29-07-2025,19:10:12,0.114
29-07-2025,19:10:13,0.113
