TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 4 TALCA_001
Start Date:,21-07-2025
Start Time:,18:26:01
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,65
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,0.000
,Time of Minimum:,18:26:02
,Date of Minimum:,21-07-2025
,Maximum:,0.000
,Time of Maximum:,18:26:02
,Date of Maximum:,21-07-2025

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
21-07-2025,18:26:02,0.000
21-07-2025,18:26:03,0.000
21-07-2025,18:26:04,0.000
21-07-2025,18:26:05,0.000
21-07-2025,18:26:06,0.000
21-07-2025,18:26:07,0.000
21-07-2025,18:26:08,0.000
21-07-2025,18:26:09,0.000
21-07-2025,18:26:10,0.000
21-07-2025,18:26:11,0.000
21-07-2025,18:26:12,0.000
21-07-2025,18:26:13,0.000
21-07-2025,18:26:14,0.000
21-07-2025,18:26:15,0.000
21-07-2025,18:26:16,0.000
21-07-2025,18:26:17,0.000
21-07-2025,18:26:18,0.000
21-07-2025,18:26:19,0.000
21-07-2025,18:26:20,0.000
21-07-2025,18:26:21,0.000
21-07-2025,18:26:22,0.000
21-07-2025,18:26:23,0.000
21-07-2025,18:26:24,0.000
21-07-2025,18:26:25,0.000
21-07-2025,18:26:26,0.000
21-07-2025,18:26:27,0.000
21-07-2025,18:26:28,0.000
21-07-2025,18:26:29,0.000
21-07-2025,18:26:30,0.000
21-07-2025,18:26:31,0.000
21-07-2025,18:26:32,0.000
21-07-2025,18:26:33,0.000
21-07-2025,18:26:34,0.000
21-07-2025,18:26:35,0.000
21-07-2025,18:26:36,0.000
21-07-2025,18:26:37,0.000
21-07-2025,18:26:38,0.000
21-07-2025,18:26:39,0.000
21-07-2025,18:26:40,0.000
21-07-2025,18:26:41,0.000
21-07-2025,18:26:42,0.000
21-07-2025,18:26:43,0.000
21-07-2025,18:26:44,0.000
21-07-2025,18:26:45,0.000
21-07-2025,18:26:46,0.000
21-07-2025,18:26:47,0.000
21-07-2025,18:26:48,0.000
21-07-2025,18:26:49,0.000
21-07-2025,18:26:50,0.000
21-07-2025,18:26:51,0.000
21-07-2025,18:26:52,0.000
21-07-2025,18:26:53,0.000
21-07-2025,18:26:54,0.000
21-07-2025,18:26:55,0.000
21-07-2025,18:26:56,0.000
21-07-2025,18:26:57,0.000
21-07-2025,18:26:58,0.000
21-07-2025,18:26:59,0.000
21-07-2025,18:27:00,0.000
21-07-2025,18:27:01,0.000
21-07-2025,18:27:02,0.000
21-07-2025,18:27:03,0.000
21-07-2025,18:27:04,0.000
21-07-2025,18:27:05,0.000
21-07-2025,18:27:06,0.000

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,002
Test Abbreviation:,TEST 4 TALCA_002
Start Date:,21-07-2025
Start Time:,18:27:13
Duration (dd:hh:mm:ss):,0:00:03:00
Log Interval (mm:ss):,00:01
Number of points:,190
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.068
,Minimum:,0.064
,Time of Minimum:,18:29:57
,Date of Minimum:,21-07-2025
,Maximum:,0.073
,Time of Maximum:,18:28:27
,Date of Maximum:,21-07-2025

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
21-07-2025,18:27:14,0.069
21-07-2025,18:27:15,0.068
21-07-2025,18:27:16,0.067
21-07-2025,18:27:17,0.068
21-07-2025,18:27:18,0.069
21-07-2025,18:27:19,0.070
21-07-2025,18:27:20,0.070
21-07-2025,18:27:21,0.070
21-07-2025,18:27:22,0.067
21-07-2025,18:27:23,0.066
21-07-2025,18:27:24,0.065
21-07-2025,18:27:25,0.066
21-07-2025,18:27:26,0.069
21-07-2025,18:27:27,0.072
21-07-2025,18:27:28,0.069
21-07-2025,18:27:29,0.071
21-07-2025,18:27:30,0.072
21-07-2025,18:27:31,0.070
21-07-2025,18:27:32,0.069
21-07-2025,18:27:33,0.070
21-07-2025,18:27:34,0.069
21-07-2025,18:27:35,0.070
