TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 4 TALCA_001
Start Date:,07-07-2025
Start Time:,19:04:48
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,63
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,0.000
,Time of Minimum:,19:04:49
,Date of Minimum:,07-07-2025
,Maximum:,0.000
,Time of Maximum:,19:04:49
,Date of Maximum:,07-07-2025

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
07-07-2025,19:04:49,0.000
07-07-2025,19:04:50,0.000
07-07-2025,19:04:51,0.000
07-07-2025,19:04:52,0.000
07-07-2025,19:04:53,0.000
07-07-2025,19:04:54,0.000
07-07-2025,19:04:55,0.000
07-07-2025,19:04:56,0.000
07-07-2025,19:04:57,0.000
07-07-2025,19:04:58,0.000
07-07-2025,19:04:59,0.000
07-07-2025,19:05:00,0.000
07-07-2025,19:05:01,0.000
07-07-2025,19:05:02,0.000
07-07-2025,19:05:03,0.000
07-07-2025,19:05:04,0.000
07-07-2025,19:05:05,0.000
07-07-2025,19:05:06,0.000
07-07-2025,19:05:07,0.000
07-07-2025,19:05:08,0.000
07-07-2025,19:05:09,0.000
07-07-2025,19:05:10,0.000
07-07-2025,19:05:11,0.000
07-07-2025,19:05:12,0.000
07-07-2025,19:05:13,0.000
07-07-2025,19:05:14,0.000
07-07-2025,19:05:15,0.000
07-07-2025,19:05:16,0.000
07-07-2025,19:05:17,0.000
07-07-2025,19:05:18,0.000
07-07-2025,19:05:19,0.000
07-07-2025,19:05:20,0.000
07-07-2025,19:05:21,0.000
07-07-2025,19:05:22,0.000
07-07-2025,19:05:23,0.000
07-07-2025,19:05:24,0.000
07-07-2025,19:05:25,0.000
07-07-2025,19:05:26,0.000
07-07-2025,19:05:27,0.000
07-07-2025,19:05:28,0.000
07-07-2025,19:05:29,0.000
07-07-2025,19:05:30,0.000
07-07-2025,19:05:31,0.000
07-07-2025,19:05:32,0.000
07-07-2025,19:05:33,0.000
07-07-2025,19:05:34,0.000
07-07-2025,19:05:35,0.000
07-07-2025,19:05:36,0.000
07-07-2025,19:05:37,0.000
07-07-2025,19:05:38,0.000
07-07-2025,19:05:39,0.000
07-07-2025,19:05:40,0.000
07-07-2025,19:05:41,0.000
07-07-2025,19:05:42,0.000
07-07-2025,19:05:43,0.000
07-07-2025,19:05:44,0.000
07-07-2025,19:05:45,0.000
07-07-2025,19:05:46,0.000
07-07-2025,19:05:47,0.000
07-07-2025,19:05:48,0.000
07-07-2025,19:05:49,0.000
07-07-2025,19:05:50,0.000
07-07-2025,19:05:51,0.000

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,002
Test Abbreviation:,TEST 4 TALCA_002
Start Date:,07-07-2025
Start Time:,19:06:28
Duration (dd:hh:mm:ss):,0:00:03:00
Log Interval (mm:ss):,00:01
Number of points:,184
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.121
,Minimum:,0.084
,Time of Minimum:,19:08:20
,Date of Minimum:,07-07-2025
,Maximum:,0.173
,Time of Maximum:,19:09:19
,Date of Maximum:,07-07-2025

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
07-07-2025,19:06:29,0.137
07-07-2025,19:06:30,0.127
07-07-2025,19:06:31,0.112
07-07-2025,19:06:32,0.109
07-07-2025,19:06:33,0.097
07-07-2025,19:06:34,0.094
07-07-2025,19:06:35,0.098
07-07-2025,19:06:36,0.107
07-07-2025,19:06:37,0.106
07-07-2025,19:06:38,0.115
07-07-2025,19:06:39,0.106
07-07-2025,19:06:40,0.091
07-07-2025,19:06:41,0.087
07-07-2025,19:06:42,0.114
07-07-2025,19:06:43,0.125
07-07-2025,19:06:44,0.099
07-07-2025,19:06:45,0.094
07-07-2025,19:06:46,0.096
07-07-2025,19:06:47,0.092
07-07-2025,19:06:48,0.088
07-07-2025,19:06:49,0.100
07-07-2025,19:06:50,0.105
07-07-2025,19:06:51,0.096
07-07-2025,19:06:52,0.113
07-07-2025,19:06:53,0.134
07-07-2025,19:06:54,0.125
07-07-2025,19:06:55,0.124
07-07-2025,19:06:56,0.114
07-07-2025,19:06:57,0.108
07-07-2025,19:06:58,0.109
07-07-2025,19:06:59,0.110
07-07-2025,19:07:00,0.117
07-07-2025,19:07:01,0.129
07-07-2025,19:07:02,0.111
07-07-2025,19:07:03,0.122
07-07-2025,19:07:04,0.130
07-07-2025,19:07:05,0.129
07-07-2025,19:07:06,0.131
07-07-2025,19:07:07,0.121
07-07-2025,19:07:08,0.117
07-07-2025,19:07:09,0.116
07-07-2025,19:07:10,0.129
07-07-2025,19:07:11,0.137
07-07-2025,19:07:12,0.131
07-07-2025,19:07:13,0.123
07-07-2025,19:07:14,0.118
07-07-2025,19:07:15,0.112
07-07-2025,19:07:16,0.108
07-07-2025,19:07:17,0.104
07-07-2025,19:07:18,0.105
07-07-2025,19:07:19,0.117
07-07-2025,19:07:20,0.123
07-07-2025,19:07:21,0.139
07-07-2025,19:07:22,0.123
07-07-2025,19:07:23,0.107
07-07-2025,19:07:24,0.103
07-07-2025,19:07:25,0.109
07-07-2025,19:07:26,0.128
07-07-2025,19:07:27,0.132
07-07-2025,19:07:28,0.134
07-07-2025,19:07:29,0.148
07-07-2025,19:07:30,0.145
07-07-2025,19:07:31,0.145
07-07-2025,19:07:32,0.135
07-07-2025,19:07:33,0.120
07-07-2025,19:07:34,0.117
07-07-2025,19:07:35,0.111
07-07-2025,19:07:36,0.111
07-07-2025,19:07:37,0.090
07-07-2025,19:07:38,0.087
07-07-2025,19:07:39,0.108
07-07-2025,19:07:40,0.116
07-07-2025,19:07:41,0.093
07-07-2025,19:07:42,0.097
07-07-2025,19:07:43,0.101
07-07-2025,19:07:44,0.086
07-07-2025,19:07:45,0.090
07-07-2025,19:07:46,0.086
07-07-2025,19:07:47,0.102
07-07-2025,19:07:48,0.122
07-07-2025,19:07:49,0.141
07-07-2025,19:07:50,0.129
07-07-2025,19:07:51,0.129
07-07-2025,19:07:52,0.119
07-07-2025,19:07:53,0.122
07-07-2025,19:07:54,0.128
07-07-2025,19:07:55,0.134
07-07-2025,19:07:56,0.127
07-07-2025,19:07:57,0.131
07-07-2025,19:07:58,0.137
07-07-2025,19:07:59,0.129
07-07-2025,19:08:00,0.138
07-07-2025,19:08:01,0.122
07-07-2025,19:08:02,0.104
07-07-2025,19:08:03,0.102
07-07-2025,19:08:04,0.091
07-07-2025,19:08:05,0.090
07-07-2025,19:08:06,0.092
07-07-2025,19:08:07,0.096
07-07-2025,19:08:08,0.104
07-07-2025,19:08:09,0.103
07-07-2025,19:08:10,0.102
07-07-2025,19:08:11,0.097
07-07-2025,19:08:12,0.101
07-07-2025,19:08:13,0.107
07-07-2025,19:08:14,0.100
07-07-2025,19:08:15,0.090
07-07-2025,19:08:16,0.087
07-07-2025,19:08:17,0.089
07-07-2025,19:08:18,0.091
07-07-2025,19:08:19,0.087
07-07-2025,19:08:20,0.084
07-07-2025,19:08:21,0.095
07-07-2025,19:08:22,0.119
07-07-2025,19:08:23,0.118
07-07-2025,19:08:24,0.124
07-07-2025,19:08:25,0.118
07-07-2025,19:08:26,0.102
07-07-2025,19:08:27,0.116
07-07-2025,19:08:28,0.119
07-07-2025,19:08:29,0.122
07-07-2025,19:08:30,0.113
07-07-2025,19:08:31,0.108
07-07-2025,19:08:32,0.108
07-07-2025,19:08:33,0.112
07-07-2025,19:08:34,0.138
07-07-2025,19:08:35,0.147
07-07-2025,19:08:36,0.165
07-07-2025,19:08:37,0.167
07-07-2025,19:08:38,0.158
07-07-2025,19:08:39,0.151
07-07-2025,19:08:40,0.150
07-07-2025,19:08:41,0.160
07-07-2025,19:08:42,0.147
07-07-2025,19:08:43,0.144
07-07-2025,19:08:44,0.157
07-07-2025,19:08:45,0.162
07-07-2025,19:08:46,0.157
07-07-2025,19:08:47,0.158
07-07-2025,19:08:48,0.168
07-07-2025,19:08:49,0.156
07-07-2025,19:08:50,0.144
07-07-2025,19:08:51,0.140
07-07-2025,19:08:52,0.140
07-07-2025,19:08:53,0.151
07-07-2025,19:08:54,0.142
07-07-2025,19:08:55,0.139
07-07-2025,19:08:56,0.150
07-07-2025,19:08:57,0.142
07-07-2025,19:08:58,0.138
07-07-2025,19:08:59,0.150
07-07-2025,19:09:00,0.147
07-07-2025,19:09:01,0.142
07-07-2025,19:09:02,0.137
07-07-2025,19:09:03,0.131
07-07-2025,19:09:04,0.132
07-07-2025,19:09:05,0.133
07-07-2025,19:09:06,0.125
07-07-2025,19:09:07,0.123
07-07-2025,19:09:08,0.125
07-07-2025,19:09:09,0.134
07-07-2025,19:09:10,0.136
07-07-2025,19:09:11,0.122
07-07-2025,19:09:12,0.119
07-07-2025,19:09:13,0.132
07-07-2025,19:09:14,0.139
07-07-2025,19:09:15,0.127
07-07-2025,19:09:16,0.131
07-07-2025,19:09:17,0.147
07-07-2025,19:09:18,0.158
07-07-2025,19:09:19,0.173
07-07-2025,19:09:20,0.170
07-07-2025,19:09:21,0.154
07-07-2025,19:09:22,0.137
07-07-2025,19:09:23,0.128
07-07-2025,19:09:24,0.124
07-07-2025,19:09:25,0.136
07-07-2025,19:09:26,0.135
07-07-2025,19:09:27,0.132
07-07-2025,19:09:28,0.121
07-07-2025,19:09:29,0.113
07-07-2025,19:09:30,0.113
07-07-2025,19:09:31,0.115
07-07-2025,19:09:32,0.113

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,003
Test Abbreviation:,TEST 4 TALCA_003
Start Date:,07-07-2025
Start Time:,19:20:13
Duration (dd:hh:mm:ss):,0:01:40:00
Log Interval (mm:ss):,00:01
Number of points:,6022
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.382
,Minimum:,0.052
,Time of Minimum:,20:55:15
,Date of Minimum:,07-07-2025
,Maximum:,2.180
,Time of Maximum:,20:22:53
,Date of Maximum:,07-07-2025

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
07-07-2025,19:20:14,0.364
07-07-2025,19:20:15,0.377
07-07-2025,19:20:16,0.395
07-07-2025,19:20:17,0.392
07-07-2025,19:20:18,0.392
07-07-2025,19:20:19,0.396
07-07-2025,19:20:20,0.396
07-07-2025,19:20:21,0.393
07-07-2025,19:20:22,0.408
07-07-2025,19:20:23,0.414
07-07-2025,19:20:24,0.417
07-07-2025,19:20:25,0.417
07-07-2025,19:20:26,0.418
07-07-2025,19:20:27,0.413
07-07-2025,19:20:28,0.404
07-07-2025,19:20:29,0.413
07-07-2025,19:20:30,0.418
07-07-2025,19:20:31,0.411
07-07-2025,19:20:32,0.398
07-07-2025,19:20:33,0.408
07-07-2025,19:20:34,0.414
07-07-2025,19:20:35,0.407
07-07-2025,19:20:36,0.400
07-07-2025,19:20:37,0.396
07-07-2025,19:20:38,0.393
07-07-2025,19:20:39,0.389
07-07-2025,19:20:40,0.391
07-07-2025,19:20:41,0.389
07-07-2025,19:20:42,0.390
07-07-2025,19:20:43,0.401
07-07-2025,19:20:44,0.408
07-07-2025,19:20:45,0.400
07-07-2025,19:20:46,0.392
07-07-2025,19:20:47,0.396
07-07-2025,19:20:48,0.398
07-07-2025,19:20:49,0.399
07-07-2025,19:20:50,0.406
07-07-2025,19:20:51,0.392
07-07-2025,19:20:52,0.387
07-07-2025,19:20:53,0.398
07-07-2025,19:20:54,0.402
07-07-2025,19:20:55,0.409
07-07-2025,19:20:56,0.401
07-07-2025,19:20:57,0.399
07-07-2025,19:20:58,0.399
07-07-2025,19:20:59,0.409
07-07-2025,19:21:00,0.410
07-07-2025,19:21:01,0.404
07-07-2025,19:21:02,0.403
07-07-2025,19:21:03,0.396
07-07-2025,19:21:04,0.389
07-07-2025,19:21:05,0.386
07-07-2025,19:21:06,0.384
07-07-2025,19:21:07,0.387
07-07-2025,19:21:08,0.386
07-07-2025,19:21:09,0.383
07-07-2025,19:21:10,0.383
07-07-2025,19:21:11,0.380
07-07-2025,19:21:12,0.381
07-07-2025,19:21:13,0.387
07-07-2025,19:21:14,0.382
07-07-2025,19:21:15,0.382
07-07-2025,19:21:16,0.379
07-07-2025,19:21:17,0.372
07-07-2025,19:21:18,0.376
07-07-2025,19:21:19,0.369
07-07-2025,19:21:20,0.362
07-07-2025,19:21:21,0.361
07-07-2025,19:21:22,0.360
07-07-2025,19:21:23,0.361
07-07-2025,19:21:24,0.357
07-07-2025,19:21:25,0.354
07-07-2025,19:21:26,0.356
07-07-2025,19:21:27,0.351
07-07-2025,19:21:28,0.348
07-07-2025,19:21:29,0.353
07-07-2025,19:21:30,0.352
07-07-2025,19:21:31,0.357
07-07-2025,19:21:32,0.353
07-07-2025,19:21:33,0.344
07-07-2025,19:21:34,0.347
07-07-2025,19:21:35,0.359
07-07-2025,19:21:36,0.360
07-07-2025,19:21:37,0.351
07-07-2025,19:21:38,0.346
07-07-2025,19:21:39,0.345
07-07-2025,19:21:40,0.342
07-07-2025,19:21:41,0.340
07-07-2025,19:21:42,0.347
07-07-2025,19:21:43,0.343
07-07-2025,19:21:44,0.340
07-07-2025,19:21:45,0.344
07-07-2025,19:21:46,0.344
07-07-2025,19:21:47,0.342
07-07-2025,19:21:48,0.346
07-07-2025,19:21:49,0.341
07-07-2025,19:21:50,0.338
07-07-2025,19:21:51,0.342
07-07-2025,19:21:52,0.353
07-07-2025,19:21:53,0.365
07-07-2025,19:21:54,0.356
07-07-2025,19:21:55,0.352
07-07-2025,19:21:56,0.355
07-07-2025,19:21:57,0.355
07-07-2025,19:21:58,0.351
07-07-2025,19:21:59,0.350
07-07-2025,19:22:00,0.349
07-07-2025,19:22:01,0.353
07-07-2025,19:22:02,0.359
07-07-2025,19:22:03,0.353
07-07-2025,19:22:04,0.359
07-07-2025,19:22:05,0.369
07-07-2025,19:22:06,0.363
07-07-2025,19:22:07,0.353
07-07-2025,19:22:08,0.362
07-07-2025,19:22:09,0.369
07-07-2025,19:22:10,0.373
07-07-2025,19:22:11,0.360
07-07-2025,19:22:12,0.342
07-07-2025,19:22:13,0.351
07-07-2025,19:22:14,0.346
07-07-2025,19:22:15,0.337
07-07-2025,19:22:16,0.336
07-07-2025,19:22:17,0.341
07-07-2025,19:22:18,0.338
07-07-2025,19:22:19,0.335
07-07-2025,19:22:20,0.344
07-07-2025,19:22:21,0.348
07-07-2025,19:22:22,0.341
07-07-2025,19:22:23,0.338
07-07-2025,19:22:24,0.340
07-07-2025,19:22:25,0.343
07-07-2025,19:22:26,0.339
07-07-2025,19:22:27,0.323
07-07-2025,19:22:28,0.315
07-07-2025,19:22:29,0.317
07-07-2025,19:22:30,0.315
07-07-2025,19:22:31,0.312
07-07-2025,19:22:32,0.318
07-07-2025,19:22:33,0.355
07-07-2025,19:22:34,0.363
07-07-2025,19:22:35,0.354
07-07-2025,19:22:36,0.333
07-07-2025,19:22:37,0.314
07-07-2025,19:22:38,0.303
07-07-2025,19:22:39,0.301
07-07-2025,19:22:40,0.298
07-07-2025,19:22:41,0.304
07-07-2025,19:22:42,0.323
07-07-2025,19:22:43,0.322
07-07-2025,19:22:44,0.324
07-07-2025,19:22:45,0.342
07-07-2025,19:22:46,0.336
07-07-2025,19:22:47,0.303
07-07-2025,19:22:48,0.311
07-07-2025,19:22:49,0.325
07-07-2025,19:22:50,0.339
07-07-2025,19:22:51,0.365
07-07-2025,19:22:52,0.388
07-07-2025,19:22:53,0.401
07-07-2025,19:22:54,0.418
07-07-2025,19:22:55,0.417
07-07-2025,19:22:56,0.398
07-07-2025,19:22:57,0.380
07-07-2025,19:22:58,0.368
07-07-2025,19:22:59,0.349
07-07-2025,19:23:00,0.332
07-07-2025,19:23:01,0.333
07-07-2025,19:23:02,0.350
07-07-2025,19:23:03,0.366
07-07-2025,19:23:04,0.369
07-07-2025,19:23:05,0.359
07-07-2025,19:23:06,0.358
07-07-2025,19:23:07,0.349
07-07-2025,19:23:08,0.342
07-07-2025,19:23:09,0.344
